l;Destination;Channel;AdvanceDays;TicketWeekday;DepartureWeekday;Fare;miles
DTW;ATL;Orbitz;2;Tuesday;Thursday;165.78;596
DTW;ATL;Offline;73;Wednesday;Saturday;96.74;596
DTW;ATL;Online Other;40;Wednesday;Monday;120;596
DTW;ATL;Offline;110;Thursday;Tuesday;96.74;596
DTW;ATL;Online Other;2;Thursday;Saturday;167.44;596
DTW;ATL;Orbitz;40;Wednesday;Monday;81.86;596
DTW;ATL;Expedia;23;Wednesday;Friday;133.95;596
DTW;ATL;Travelocity;2;Tuesday;Thursday;194.42;596
DTW;ATL;Expedia;18;Thursday;Monday;124.65;596
DTW;ATL;Online Other;3;Friday;Monday;196.2291667;596
DTW;ATL;Expedia;31;Friday;Monday;143.26;596
DTW;ATL;Expedia;23;Monday;Wednesday;73.48;596
DTW;ATL;Offline;18;Thursday;Monday;120.824375;596
DTW;ATL;Travelocity;76;Thursday;Wednesday;87.44;596
DTW;ATL;Offline;47;Wednesday;Monday;73.49;596
DTW;ATL;Expedia;9;Tuesday;Thursday;120.0766667;596
DTW;ATL;Expedia;1;Friday;Saturday;192.87;596
DTW;ATL;Offline;94;Monday;Thursday;82.79;596
DTW;ATL;Travelocity;4;Sunday;Thursday;133.95;596
DTW;ATL;Expedia;7;Tuesday;Tuesday;113.302;596
DTW;ATL;Offline;83;Saturday;Friday;82.79;596
DTW;ATL;Offline;71;Thursday;Friday;96.74;596
DTW;ATL;Offline;13;Wednesday;Tuesday;140.5586667;596
DTW;ATL;Expedia;2;Friday;Sunday;184.3333333;596
DTW;ATL;Offline;107;Tuesday;Thursday;82.79;596
DTW;ATL;Offline;46;Sunday;Thursday;113.4866667;596
DTW;ATL;Offline;32;Saturday;Wednesday;106.05;596
DTW;ATL;Offline;13;Friday;Thursday;135.0446667;596
DTW;ATL;Expedia;9;Thursday;Saturday;138.6;596
DTW;ATL;Expedia;18;Monday;Friday;132.4;596
DTW;ATL;Offline;8;Tuesday;Wednesday;176.1812069;596
DTW;ATL;Offline;190;Thursday;Friday;101.39;596
DTW;ATL;Orbitz;23;Wednesday;Friday;138.6;596
DTW;ATL;Offline;90;Thursday;Wednesday;87.64;596
DTW;ATL;Offline;9;Thursday;Saturday;110.7481818;596
DTW;ATL;Travelocity;26;Monday;Saturday;82.79;596
DTW;ATL;Offline;88;Friday;Tuesday;82.79;596
DTW;ATL;Offline;18;Monday;Friday;133.9846667;596
DTW;ATL;Orbitz;28;Tuesday;Tuesday;73.95;596
DTW;ATL;Online Other;7;Tuesday;Tuesday;201.68;596
DTW;ATL;Expedia;25;Thursday;Monday;75.81;596
DTW;ATL;Offline;97;Thursday;Wednesday;96.74;596
DTW;ATL;Offline;39;Saturday;Wednesday;100;596
DTW;ATL;Offline;128;Tuesday;Thursday;95.77;596
DTW;ATL;Offline;25;Thursday;Monday;125.62;596
DTW;ATL;Orbitz;1;Friday;Saturday;189.77;596
DTW;ATL;Offline;30;Monday;Wednesday;120.17;596
DTW;ATL;Orbitz;7;Tuesday;Tuesday;128;596
DTW;ATL;Offline;68;Monday;Saturday;101.4;596
DTW;ATL;Offline;20;Wednesday;Tuesday;120.648;596
DTW;ATL;Expedia;20;Friday;Thursday;93.79666667;596
DTW;ATL;Online Other;15;Monday;Tuesday;138.6;596
DTW;ATL;Travelocity;4;Wednesday;Sunday;171.16;596
DTW;ATL;Orbitz;18;Monday;Friday;110.7;596
DTW;ATL;Offline;18;Sunday;Thursday;137.2614286;596
DTW;ATL;Travelocity;8;Tuesday;Wednesday;194.42;596
DTW;ATL;Online Other;3;Tuesday;Friday;163.515;596
DTW;ATL;Offline;33;Saturday;Thursday;122.0925;596
DTW;ATL;Orbitz;5;Monday;Saturday;103.715;596
DTW;ATL;Expedia;8;Friday;Saturday;143.26;596
